SUPERBLOCK,64,24,1024,128,8192,24,11
BFREE,41
BFREE,42
BFREE,45
BFREE,46
BFREE,47
BFREE,48
BFREE,49
BFREE,50
BFREE,51
BFREE,53
BFREE,54
BFREE,55
BFREE,56
BFREE,61
BFREE,62
BFREE,63
BFREE,64
IFREE,17
IFREE,18
IFREE,19
IFREE,20
IFREE,21
IFREE,22
IFREE,23
INODE,2,d,755,6173,0,4,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,1024,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INODE,11,d,700,6173,0,2,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,12288,24,9,10,11,12,13,14,15,16,17,18,19,20,0,0,0
INODE,12,d,755,0,0,2,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,1024,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INODE,13,f,644,0,0,2,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INODE,14,f,644,0,0,1,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INODE,15,f,644,0,0,1,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,1024,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INODE,16,f,644,0,0,1,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,14336,30,22,23,24,25,26,27,28,29,30,31,32,33,34,0,0
INODE,17,f,644,0,0,1,08/10/17 16:21:52,08/10/17 16:21:52,08/10/17 16:21:52,67386368,18,0,0,0,0,0,0,0,0,0,0,0,0,61,62,46
